inept                                                       서투른
expenditure                                                 비용/지출

detrimental                                                 해로운
aplomb                                                      침착함
compendious                                                 필요한 내용을 담은

bogus                                                       가짜의
clammy                                                      축축한
naughty                                                     버릇없는
subtle                                                      미묘한

hoops                                                       농구(슬랭)
fragrant                                                    향긋한
defeatist                                                   패배주의적인
crisp                                                       바삭한
insensible                                                  무감각한
grassroot                                                   민초
cluster                                                     무리/군
reputation                                                  평판/명성
astronomer                                                  천문학자
cipher                                                      암호
extol                                                       극찬하다
gutter                                                      배수로
