
callow                                                      미숙한
disobedient                                                 반항하는
flap                                                        덮개/퍼덕거리다
deceptive                                                   기만적인
controversial                                               논란이 많은

militant                                                    전투적인
ignite                                                      불을 붙이다
deadlier                                                    deadly비교급/치명적인
widespread                                                  광범위한
ruling                                                      지배하는

seize                                                       장악하다/점령하다
take over                                                   물려받다
release                                                     공개하다
film                                                        영상
intercept                                                   가로막다
approval                                                    찬성/인정
explore                                                     (학문을)탐구하다
communicate                                                 (의사를)전달하다
erstwhile                                                   지금까지의
fantasize                                                   공상하다
handful                                                     움큼/줌
impassive                                                   무표정한
dizzy                                                       어지러운
baggy                                                       헐렁한
impale                                                      찌르다
natty                                                       세련된
enfold                                                      감싸다/안다
churn                                                       휘젓다
adhere                                                      들러붙다
nay                                                         그게아니라
