germane                                 ~밀접한 관련이 있는
impenetrable                            들어갈 수 없는
restraint                               통제/규제
dependence                              의존
demur                                   이의를 제기하다
preen                                   몸치장을 하다

inane                                   어리석은
disembodied                             육체에서 분리된
perfunctory                             형식적인
peerless                                비할데 없는
palmy                                   영광스럽던

stuffed                                 속을 채운
stuffed bears                           (봉제)곰인형
robust                                  튼튼한/팔팔한
profitable                              수익성있는
for the very first time                 최초로,처음으로
supersede                               대체하다
severe                                  심각한
multistory                              고층의
sweep away                              쓸어버리다
cripple                                 불구자
engrave                                 (나무,돌등에)새기다
filmy                                   얇은/안이비치는
flaming                                 격렬한
lovable                                 사랑스러운
ethnic                                  민족의                               
provincial                              지방의 
premium                                 보험료
braid                                   (장식용)수술/(머리등)땋은것
functionary                             공무원
