conspire                                음모를 꾸미다
plot                                    음모
expulsion                               추방
feral                                   돌아다니며사는
infraction                              위반
incessant                               끊임없는
filial                                  자식의
preferential                            우선권을 주는
irate                                   성난

venture                                 모험
site                                    장소
intervene                               개입하다
overthrow                               전복시키다
prosecute                               기소하다
ousted                                  축출된
treason                                 반역죄
standby                                 대기하고있는
stow away                               밀항하다
corporal                                상등병
dusky                                   어스름한
damp                                    눅눅한
amass                                   모으다
gratis                                  무료로
antidote                                해독제
misplaced                               부적절한
recite                                  암송하다
inhabit                                 거주하다
nudge                                   쿡 찌르다
piety                                   독실함
elegy                                   애가
