falter                                  불안정해지다
enrich                                  질을 높이다
filial                                  자식의
reclaim                                 되찾다
mark                                    기념하다
alter                                   바꾸다/고치다

spectacle                               구경거리
spectacular                             장관을 이루는
wind-swept                              강한바람이 부는
deploy                                  배치하다
jail                                    투옥하다
remains                                 (시신등의)유해
fickle                                  변덕스러운
burial ground                           (시신등의)매장지
ashore                                  해안의
languish                                머물다
apace                                   빠른속도로
haste                                   서두름
quarry                                  채석장
gambol                                  뛰어다니다
grotesque                               터무니없는
avow                                    맹세하다
clerical                                사무직의
flabby                                  (살이)늘어진
illusory                                환상에 불과한
cult                                    종교집단/숭배
