call for                                                    예상하다/예보하다
proliferate                                                 급증하다
averse                                                      ~을 싫어하지않는
apprehensive                                                걱정되는
comprehensive                                               종합적인
hole-and-corner                                             비밀리에 하는
contentment                                                 만족감
blab                                                        정보를 알려주다

fiasco                                                      낭패
astronomical                                                천문학의
dupe                                                        속이다
allegiance                                                  충성
foretaste                                                   (비유)맛보기
candour                                                     솔직함

confiscate                                                  몰수[압수]하다
improbable                                                  사실같지않은
bygone                                                      지나간
revitalize                                                  재활성화시키다
anew                                                        다시
pallor                                                      창백한
offensive                                                   모욕적인
pessimist                                                   비관주의자
burlesque                                                   풍자
rundown                                                     쇠퇴
underway                                                    진행중인
applause                                                    박수
contemplate                                                 고려하다
hunk                                                        (큰)덩어리
awe                                                         경외감
obstacle                                                    장애물
melange                                                     혼합물
reconnalissance                                             (군사적)정찰
