exude                                           물씬 풍기다/(물을)흘리다
concern                                         걱정스럽게 만들다 / 영향을 미치다
discrepancy                                     불일치
preserve                                        보호하다 보존하다
retain                                          유지하다 
assembly                                        의회 / 입법기관
discourage                                      막다 / 말리다
discrimination                                  차별 / 안목
convince                                        설득시키다 
revenue                                         수익
consequence                                     결과 
improve                                         개선하다
appreciate                                      진가를 알아보다
debate                                          토론
self-esteem                                     자부심
prejudice                                       편견
decline                                         감소
approach                                        다가가다
shelter                                         주거지
get on with                                     ~와 잘 지내다 
influence                                       영향

adapt                                           (상황에)맞추다 / 조정하다 / 적응하다
continent                                       대륙
cheerful                                        발랄한 / 쾌활한
contribution                                    기부금
native                                          태어난 곳의
examine                                         조사하다
impatient		                                짜증난 / 못견디는
remove                                          치우다 
survey                                          조사
accept                                          받아들이다
such as                                         ~와 같은 /예를 들어
pay attention to                                ~유의하다
material                                        천 직물
overall                                         전반적으로 전체의
currency                                        통화
charity                                         자선단체
terribly                                        대단히 
object                                          물건    
competitive                                     경쟁을 하는
population                                      인구
nervous                                         불안해하는
