intimidate                                                  위협하다
bountiful                                                   너그러운 
Departure                                                   사임
defend                                                      옹호하다
ingenious                                                   기발한
ingenuous                                                   순진한
levy                                                        추가부담금

declaim                                                     열변을 토하다
inclusion                                                   포용
aspiration                                                  열망
intricate                                                   복잡한
flagrant                                                    노골적인
fracture                                                    골절/균열
quell                                                       평정하다
quell                                                       (감정을)가라앉히다

advocate                                                    지지하다
policy in effect                                            시행된 정책
asylum claims                                               망명신청
U.S. hearing                                                법적 심리
practice                                                    관행
furry                                                       털로 덮인
overtake                                                    뒤덮다
figuratively                                                비유적으로
resign as                                                   ~직을 그만두다
dozens of                                                   수십의
implication                                                 함축/영향/암시
haven                                                       피난처
chamber                                                     회의실
hitch                                                       (옷을)끌어올리다
fragrant                                                    향기로운
flawed                                                      흠이 있는
itemize                                                     명세서를 작성하다
inquisitive                                                 호기심이 많은
