name                                                                                선출하다
synthesis                                                                           종합

drench                                                                              흠뻑적시다
residential                                                                         거주하기좋은
fruition                                                                            성과
declaration                                                                         선언
inexactly                                                                           부정확하게
closure                                                                             폐쇄
evacuations                                                                         대피
mudslides                                                                           산사태
lawmaker                                                                            입법자
sworn                                                                               맹세한/선서를 한
congress                                                                            의회
were sworn into                                                                     ~취임하다
Speaker of the House of Representatives                                             하원의장
flip                                                                                입장을 바꾸다
reunion                                                                             재결합
coin                                                                                창안하다
solution                                                                            (방정식의)해
Accordingly                                                                         따라서,
reduction                                                                           축소
characteristic                                                                      특성
similarity                                                                          유사성
actual solution                                                                     자명한 해
approximations                                                                      근사법
in nature                                                                           성격을 띠다
conceptual                                                                          개념적인
computation                                                                         계산
lies in                                                                             (핵심은)~에 있다
Uses                                                                                활용
undergraduates                                                                      학부생들
