applicable                                          해당되는
bring together                                      모으다
rise                                                증가
proportion                                          비율/부분/균형
asymptotic                                          점근선의
Objectives                                          목표
in that                                             ~라는 점에서

power                                               작동시키다
blanked                                             기억이 안나(동사)
hostility                                           적대감
jews                                                유대인들
hatred                                              증오
public figures                                      공인
antisemitism                                        반유태주의
Civil Engineering                                   토목공학
represent                                           나타내다
ethane                                              에탄
respectively                                        각자
in terms of                                         ~의 관점에서
elliptical                                          생략된/타원의
asteroid                                            소행성의
given that 절                                       ~을 고려하면
substitute                                          대입하다/치환하다
zillions                                            무수히 많은
tedious                                             지루한
nonetheless                                         그럼에도
essence                                             본질
by definition                                       정의상
objects of interest                                 관심의 대상
