gauche                                                      서투른
proviso                                                      (합의를위한)조건

simultaneous                                                연립의/동시의
notation                                                    표기법
appear to                                                   겉으로 보이기에는
entry                                                       항목
expedient                                                   처방/방책
arise                                                       발생하다

proactive                                                   예방의
wellness                                                    건강
dug(dig) around                                             파헤쳣다/조사했다
piece                                                       물건
engulf                                                      완전히 에워싸다
uncover                                                     발견하다
decorate                                                    (훈장을)수여하다
i.e.,                                                       in other words
intuition                                                   직관
groundwork                                                  기초/준비작업
permalink                                                   전자문서에 부여된 하이퍼링크
denote                                                      의미하다/나타내다
the number line                                             수직선
whole number                                                (음수제외한)정수
fusty                                                       퀴퀴한/구식의
origin                                                      원점
Euclidean                                                   유클리드의/기하학의
namely                                                      즉,다시말해
psychological                                               심리적
ascend                                                      오르다
insatiable                                                  만족할줄 모르는
fishy                                                       수상한
decay                                                       부패
loaf                                                        빈둥거리다/(빵)한 덩이
