indignation                                                 분함
bicker                                                      다투다
phenomenal                                                  경이적인
compartmentalize                                            구분하다
perforate                                                   구멍을 뚫다

marginal                                                    미미한
ebullient                                                   사기가 충천한
gleeful                                                     고소해 하는
articulation                                                표현
imbue                                                       가득 채우다
acclimatize                                                 익숙해지다

cache                                                       은닉처
genetic                                                     유전의
rim                                                         테두리
fibre                                                       섬유질
deserted                                                    사람(들)이 떠나 버린
nod                                                         끄덕임
node                                                        마디/교점
August                                                      8월/위엄있는
overtake                                                    추월하다
chime                                                       (소리로)울리다
colour                                                      color
dwelling                                                    주거지
remediable                                                  해결될 수 있는
fleshy                                                      살찐
light-hearted                                               마음이 가벼운
audit                                                       회계감사
irreverent                                                  불경한
debrief                                                     보고를 듣다 
brief                                                       보고하다
