euthanize                                                   안락사시키다
emphatic                                                    단호한
retch                                                       구역질나게 하다
avert                                                       ~에서 눈을 돌리다
coarse                                                      거친
breach                                                      위반하다
epiphany                                                    깨달음

debunk                                                      (생각이)틀렸음을 밝히다
bungle                                                      을 엉망으로 하다
foster                                                      조성하다
offhand                                                     무뚝뚝한

turned away from                                            ~로부터 벗어나다
lexicon                                                     어휘
mammal                                                      포유동물
humanely                                                    인도적으로
suffering                                                   고통
boast                                                       뽐내다
pavement                                                    (도로의)인도
beatific                                                    기쁨이 넘치는
combustible                                                 가연성인 
orator                                                      연설가
exertion                                                    노력
offspring                                                   자식/새끼
immemorial                                                  태곳적부터의
interpolate                                                 보간하다
penalize                                                    처벌하다
reside                                                      거주하다
hitch                                                       얻어 타다
lapse                                                       실수/(시간적)경과
inwardly                                                    내심/마음속으로
