flair                                                       재주
inquisitive                                                 탐구심이 많은
exacting                                                    까다로운
dulcet                                                      감미로운
hanker                                                      갈망하다
assent                                                      찬성

confer                                                      상의하다
foment                                                      조성하다
cavort                                                      뛰어다니다
inconsolable                                                슬픔을 가눌 수 없는
fraught with (problems/danger)                              ~투성이의
muddle                                                      헝클어뜨리다
meagre                                                      빈약한
infinitesimal                                               극미한

byword                                                      전형
rating                                                      순위
put upon                                                    도입하다(impose)
accompaniment                                               (음악)반주
observe                                                     축하하다
handover                                                    양도/이양
archeological                                               고고학적
catchy                                                      기억하기 쉬운
honorary                                                    명예의
distil                                                      증류하다
convoy                                                      수송대
ancestry                                                    혈통
coating                                                     코팅
lusty                                                       건장한
lace                                                        레이스(옷의장식)
hobble                                                      다리를 절다
jocular                                                     익살스러운
commanding                                                  지휘하는
casualty                                                    사상자
enlarge                                                     확대하다
