debase                                                      저하시키다
batter                                                      구타하다
mordant                                                     신랄한
embroil                                                     휘말리게 만들다
charter                                                     선언문 
mindful                                                     ~에 유념하는

abstain                                                     기권하다
dismay                                                      실망
measure                                                     조치/정책
inadequacy                                                  부적당함 
desiccated                                                  건조시킨
embark                                                      승선하다

pinnacle                                                    정점
darn                                                        꿰매다
barren                                                      척박한
globule                                                     작은구체
garb                                                        의복
courtship                                                   구애
attendance                                                  참석
prohibition                                                 금지
worship                                                     예배/숭배
inevitable                                                  불가피한
downfall                                                    몰락
shot dead(관용)                                             쏴죽이다
clash                                                       (물리적)충돌
Orthodox                                                    정통의
worshipper                                                  (종교)신자
man-made                                                    인간이 만든
curative                                                    치유력이 있는
hugely                                                      엄청나게
cadence                                                     억양
