befall                                                      (사건이)닥치다
dissipation                                                 소멸
attrition                                                   소모
flinch                                                      움찔하다
boggle                                                      주춤하다

compere                                                     사회를보다
cajole                                                      회유하다
pert                                                        당돌한 
outlandish                                                  이상한
homage                                                      경의
pry                                                         캐묻다
emancipate                                                  해방시키다 

appreciable                                                 주목할 만한
facile                                                      손쉬운
litter                                                      쓰레기/(동물의)새끼
staple                                                      주요한
siege                                                       포위작전
theft                                                       절도 
on their way                                                가는중/배송중
thick                                                       걸쭉한
full-scale                                                  총력을 기울인
checkpoints                                                 검문소를 
neutralize                                                  무효화 시키다
peal                                                        큰 소리
laudable                                                    칭찬할 만한
abound                                                      풍부하다
far-sighted                                                 선견지명이 있는
evince                                                      분명히 밝히다
recoup                                                      되찾다
armada                                                      함대
copious                                                     방대한
