bereft                                                      상실감에 빠진
attest                                                      증명하다
praise                                                      찬양하다
positively                                                  분명히

ordain                                                      임명하다 
eclectic                                                    다방면에 걸친
blinkered                                                   편협한
menace                                                      위협하다
apparatus                                                   기구
gestation                                                   임신[잉태](기간)
remonstrate                                                 항의하다
grouse                                                      불평하다
corrode                                                     부식시키다

cosmopolitan                                                국제적인
trek                                                        오지여행/걷다
salvage                                                     구조
honour                                                      존경하다
antarctica                                                  남극대륙
cub                                                         새끼
coming-of-age                                               성인
kept out of sight                                           ~에서 떨어져두다
contain                                                     억누르다
tear through                                                파괴적으로 관통하다
tubular                                                     튜브으로 된
strenuous                                                   몹시 힘든
overpower                                                   제압하다
enunciate                                                   발음하다
discontent                                                  불만
jab                                                         찌르기
roast                                                       굽다
