dismissive                                                  무시하는
disparate                                                   이질적인

abstain                                                     기권하다
impassive                                                   무표정한
profound                                                    심오한
kick-start                                                  시동을 걸다
monetary fund                                               통화기금
keep up with                                               ~을 따라가다
transport                                                   수송하다
antibody                                                    항체
fleck                                                       얼룩
fluke                                                       요행
disquiet                                                    불안
rampant                                                     걷잡을 수 없는
gross                                                       total
duress                                                      협박
dross                                                       찌꺼기
deter                                                       단념시키다
hunch                                                       구부리다
brevity                                                     간결성
detain                                                      구금하다
assembly                                                    입법기관
discourage                                                  막다/말리다
discrepancy                                                 불일치
revenue                                                     수익
concern                                                     걱정시키다/영향을 미치다
get on with                                                 ~와 잘 지내다 
determination                                               투지/결정
emerge                                                      드러나다/나오다
eligible                                                    ~을 가질 수 있는
enthusiasm                                                  열광
conduct                                                     (특정활동을)하다
conservative                                                보수적인
flaunt                                                      과시하다
restrain                                                    억누르다
detachment                                                  무심함/객관성
