amnesty                                                     사면
breakthrough                                                돌파구
restore                                                     회복시키다
extinguish                                                  (불을)끄다
withdraw                                                    철수하다
troops                                                      군대
in line with(law)                                           ~에 따라
extend                                                      제공하다
offenses                                                    범죄/모욕
breakthrough infections                                     돌파감염(의학용어)
minority                                                    소수집단
passage                                                     통로,복도
authorities                                                 정부당국/관계자
bring on                                                    초래하다
jiffy                                                       short time
flabbergasted                                               크게 놀란
immoderate                                                  과도한
gloat                                                       흡족해하다
precipitate                                                 촉발시키다
enthuse                                                     열변을 토하다
elude                                                       피하다
erode                                                       침식시키다
overcome                                                    압도당하다
chuck                                                       던지다/그만두다
dilatory                                                    미적거리는
stick out                                                   툭 튀어나오다
nestle                                                      (아늑한곳에)눕다/앉다
strand                                                      오도가도 못하게하다
formidable                                                  가공할
haunting                                                    잊을 수 없는
