land along                                                          ~을 따라 떠밀려오다

phenomenon                                                          현상
negligent                                                           부주의한/태만한
martial law                                                         계엄령
trade in                                                            교체하다
cloth                                                               천(옷감)
coverings                                                           가리는 것
medical-quality                                                     의료용 품질
observable                                                          관찰 할 수 있는
sardine                                                             정어리
waterways                                                           수로
explosives                                                          폭발물
equatorial                                                          적도의
in all,                                                             전체적으로
following(전치사)                                                   ~이후에   
overtake                                                            추월하다
takeover(명사)                                                      점령
take over                                                           물려받다
custody                                                             (재판전)유치
disobedient                                                         반항하는
adhere                                                              들러붙다
handful                                                             움큼/줌
defendant                                                           피고
break apart                                                         분해하다
break up                                                            해산시키다
uprising                                                            반란
antitrust                                                           독점금지의
broil                                                               굽다
confide                                                             비밀을 털어놓다
dank                                                                눅눅한
huff                                                                씩씩거리다
consonance                                                          일치
