treason                                                     반역죄
inane                                                       어리석은

irate                                                       성난
incessant                                                   끊임없는
amass                                                       모으다
insurrection                                                내란
urge                                                        선동하다
treaty                                                      조약
put away                                                    제자리에 두다
junta                                                       군사 정부
herculean                                                   대단히 곤란한/초인적인
trial                                                       재판
impeachment                                                 탄핵
impeach                                                     탄핵하다

falter                                                      불안정해지다
alter                                                       바꾸다/고치다
unconstitutional                                            헌법에 위배되는
drowning                                                    익사
peerless                                                    비할데 없는
impenetrable                                                들어갈 수 없는
demur                                                       이의를 제기하다
preen                                                       몸치장을 하다
feral                                                       돌아다니며사는
preferential                                                우선권을 주는
misplaced                                                   부적절한
filial                                                      자식의
languish                                                    머물다/쇠약해지다
reclaim                                                     되찾다
fickle                                                      변덕스러운
