intuition                                                   직관
imbue                                                       가득채우다
asymptotic                                                  점근선의
asymptomatic                                                증상이 없는

arise                                                       발생하다
paramount                                                   가장 중요한    
diaspora                                                    집단이동/이주민
racial                                                      인종[민족]의
is of                                                       ~에 속한다
captive                                                     사로잡힌
agricultural                                                농업 정책
reforms                                                     개혁
essence                                                     본질
gauche                                                      서투른
proviso                                                     (합의를위한)조건
expedient                                                   처방/방책

acclaim                                                     칭송하다
equate                                                      동일시하다
gush                                                        (액체가)솟구치다
iffy                                                        부족한/불확실한
dearth                                                      ~의 부족(결핍)
compartmentalize                                            구분하다
indignation                                                 분함
articulation                                                표현
bicker                                                      다투다
fraught                                                (안좋은것이)가득한/걱정스러운
fright                                                      섬뜩한[무서운] 일
conductive                                                  전도성의
conducive                                                   ~에 좋은
addled                                                      혼란스러운
quaint                                                      진기한
quell                                                       평정하다
