complement                                                  보완하다
compliment                                                  칭찬하다
coincidence                                                 우연의 일치
fatigue                                                     피로
suppress                                                    진압하다 
indifference                                                무관심
disinterest                                                 무관심/관심부족
raised tracks                                               고가철로
rest                                                        정지상태
Nearly                                                      거의(부정문)
ballots                                                     무기명[비밀] 투표
emphatic                                                    단호한
offhand                                                     무뚝뚝한
debunk                                                      (생각이)틀렸음을 밝히다
euthanize                                                   안락사시키다
retch                                                       구역질나게 하다
bungle                                                      을 엉망으로 하다
intimidate                                                  위협하다
bountiful                                                   너그러운 
Departure                                                   사임
defend                                                      옹호하다
ingenious                                                   기발한
ingenuous                                                   순진한
levy                                                        추가부담금
dulcet                                                      감미로운
put upon                                                    도입하다(impose)
abate                                                       약해지다
attrition                                                   소모
cavalier                                                    무신경한
defy                                                        반항하다
