decadent                                                    퇴폐적인/타락적인(맛)\

contagious                                                  전염성의
resume                                                      재개하다
home-bound                                                  집에 틀어박힌
in their own pleasure                                       자신의 쾌락만을 위해
measured                                                    신중한
prop                                                        버팀목
fad                                                         유행
outright                                                    명백한
dogged                                                      끈덕진
disinfect                                                   소독하다
barefaced                                                   뻔뻔한
bail                                                        보석(금)
revelry                                                     흥청망청놀기
astute                                                      영악한
bewildering                                                 갈피를 못잡게 하는
drive                                                       (변화를)만들다
splurge                                                     돈을 물쓰듯 쓰다
mow                                                         (잔디를)깍다
intrusive                                                   거슬리는
drivel                                                      쓸데없는짓
contingent                                                  대표단
gamut                                                       전체
leach                                                       침출되다
impersonate                                                 흉내내다
alteration                                                  개조
aboriginal                                                  원주민의
place                                                       (순위를)차지하다
lavish                                                      호화로운/아낌없이주다
godsend                                                     뜻밖의 선물
archetype                                                   전형
etch                                                        아로새기다
