ascertain                                                   (옳은정보를)알아내다
billow                                                      부풀어오르다

rotund                                                      퉁퉁한
insouciance                                                 태평함
innocuous                                                   악의없는
insincere                                                   진실되지못한
allay                                                       (감정을)가라앉히다

hydrofoils                                                  수중익선
underwater                                                  수중의
convene                                                     소집하다
striking back                                               반격하다
retaliate                                                   보복하다
settle                                                      해결하다
tease                                                       놀리다
gusto                                                       열정
retort                                                      대꾸하다
endearment                                                  애정을 담은말
grimy                                                       때묻은
dabble                                                      조금해보다
embody                                                      상징하다
perilous                                                    아주 위험한
crafty                                                      교활한
blare                                                       요란한소리
spiral                                                      악순환
hurl                                                        (거칠게)던지다/모욕하다
gutsy                                                       배짱있는
inmate                                                      수감자
amble                                                       느긋히 걷다
jeer                                                        야유하다
nibble                                                      조금씩먹다
