rigorous                                                            엄격한 
disruptive                                                          지장을 주는
escalate                                                            확대[증가/악화]되다
admission                                                           가입,입장,수용,입국
demanding                                                           요구가 많은, 힘든
confrontation                                                       대립
heighten                                                            고조시키다
pour                                                                (액체/기체를)붓다
infodemic                                                           악성루머가 전염병처럼 퍼지는것
frisky                                                              기운찬
anomaly                                                             변칙/이례
rile                                                                귀찮게하다
plead                                                               애원하다
nominal                                                             명목상의
disobliging                                                         비협조적인
edgy                                                                불안한
ascertain                                                           알아내다
culprit                                                             범인/장본인
behindhand                                                          (빚이)밀린
adorn                                                               장식하다
crusade                                                             (사회적)운동
nick                                                                철창
equestrian                                                          승마
forte                                                               강점
degradation                                                         비하/수모
damning                                                             비판적인
blight                                                              망치다/병충해
glib                                                                말을 잘하는
goodly                                                              (양이)상당한
heartfelt                                                           진심어린
falsely                                                             사칭하여/허위로
detour                                                              우회하다
rind                                                                껍질
insertion                                                           첨가물
artless                                                             꾸밈없는
blare                                                               요란한소리
con                                                                 속임수
freak                                                               덕후
musty                                                               퀴퀴한
devoid                                                              ~이 전혀없는
