triage                                                      부상자 분류
devote                                                      바치다
discourse                                                   담화
extent                                                      규모/정도
elaborate                                                   정교한

discharge                                                   해고하다/방출
engage                                                      고용하다/교전하다
exclude                                                     차단하다/제외하다
ethical                                                     윤리적인
ensure                                                      보장하다
disclose                                                    폭로하다
discriminate                                                식별하다/차별하다
eager                                                       열심인
enclose                                                     에워싸다
evaluate                                                    감정하다
displace                                                    대체하다/쫓아내다
disturb                                                     방해하다

enormous                                                    막대한
enroll                                                      등록하다
estate                                                      사유지/재산
envelope                                                    봉투     
exhaust                                                     다 써 버리다
panic                                                       공황상태
people reason poorly                                (사람들)판단력이 떨어집니다
then-president                                              당시의 대통령
on hold                                                     잠시중단
viewers                                                     시청자들
diabetes                                                    당뇨병
diplomat                                                    외교관
discipline                                                  규율
