induce                                                      설득하다
arrant                                                      순전한(안좋은강조)
unmitigated                                                 완전한(안좋은강조)
utter                                                       완전한
immense                                                     엄청난
immerse                                                     몰두하게 만들다
intimate                                                    친밀한
intimidate                                                  위협하다

identical                                                   동일한
liberal                                                     진보적인
legitimate                                                  합법적인
linguistic                                                  언어(학)의
intrigue                                                    흥미를 불러일으키다
incentive                                                   장려책

likewise                                                    비슷하게
integrate                                                   통합시키다
inspection                                                  검사/조사
ideology                                                    이데올로기/관념
incorporate                                                 설립하다
judicial                                                    사법의
inherent                                                    내재하는 
keen                                                        간절히 …하고 싶은
lane                                                        도로/길
funding                                                     자금
endangered                                                  멸종 위기에 처한
insure                                                      보험에 들다
intervene                                                   개입하다
jar                                                         (저장할수잇는)병
lap                                                         (트랙의)한 바퀴/무릎
lawn                                                        잔디밭
leap                                                        뛰어오르다
lease                                                       임대하다
infant                                                      유아
scuffle                                                     실랑이
