prescribe                                                   처방하다
rebuke                                                      꾸짖다 
patent                                                      특허권
prevail                                                     만연하다

peasant                                                     소작농
precede                                                     선행하다
coup                                                        쿠데타
blob                                                        걸쭉하고 축축한 무언가
incursion                                                   급습
stomach                                                     위(장기)
pass into law                                               법률로 제정하다
pave the way                                                길을 닦다
crack down on(대상)                                         탄압하다
overlook                                                    간과하다
parliament                                                  의회
pat                                                         쓰다듬다
pinch                                                       꼬집다

palace                                                      궁전
presume                                                     추정하다
pear                                                        (과일)배
peer                                                        또래
persist                                                     고집하다
perspective                                                 원근법/관점
pine                                                        소나무
pity                                                        연민
zoological                                                  동물학의
plain                                                       있는 그대로의
plant                                                       공장/식물/시설
pole                                                        막대기/(지구의)극
poll                                                        여론 조사/투표
