scarce                                                      부족한
spite                                                       앙심
provoke                                                     유발하다

consort                                                     (통치자의)배우자
spouse                                                      배우자
reunion                                                     동창회/재통합
upcycle                                                     더 나은 것으로 만들다
disapproval                                                 반감
remedy                                                      해결책
riot                                                        폭동

questionnaire                                               설문지
tide                                                        (바다의)조류
channel                                                     해협
strait                                                      해협
in a row                                                    연속해서
landmark                                                    중대사건/주요지형지물
ballistic missile                                           탄도 미사일
give away                                                   포기하다 
privilege                                                   특전/특권
presume                                                     추정하다
prosper                                                     번영하다
qualify                                                     자격을 얻다
pump                                                        퍼 올리다
rational                                                    합리적인
reception                                                   환영회
regulate                                                    규제하다
reinforce                                                   강화하다
scold                                                       야단치다
restrain                                                    억누르다
prey                                                        먹이/희생자
