prominent                                                   중요한
sustainable                                                 지속 가능한
sterilize                                                   살균[소독]하다
strike/struck/stricken                                      부딪히다
acquisition                                                 습득
reef                                                        암초
absurd                                                      부조리
behalf                                                      이익
affiliate                                                   제휴하다
adverse                                                     부정적인

imbalance                                                   불균형
correct                                                     바로잡다
pro-democracy                                               친민주주의
activist                                                    운동가
register                                                    기록하다
eggplant                                                    가지(채소)
adequate                                                    충분한
abundant                                                    풍부한
accommodate                                                 공간을 제공하다
account                                                     간주하다
attribute                                                   ~라고 보다/속성
appeal                                                      항소[상고]하다
aspire                                                      열망[염원]하다
aisle                                                       통로 
amplify                                                     증폭시키다
assess                                                      평가[사정]하다
assign                                                      맡기다
beard                                                       (턱)수염
cloth                                                       천
adolescent                                                  청소년
