conceive                                                    상상하다
devastated                                                  엄청난 충격을 받은
authoritarian                                               권위주의적인
warned of                                                   ~에 대해 경고했다
domestic                                                    가정적인/국내의
condemn                                                     선고를 내리다 

confederacy                                                 연맹/연합
rebel                                                       저항[반항]하다
nitrate                                                     질산염
dictator                                                    독재자
exercises power(colocation)                                 권력을 행사하다
extend                                                      연장하다/제공하다
bend                                                        굽히다/숙이다
brake                                                       브레이크
break                                                       부서지다/휴식
breed                                                       새끼를 낳다/사육하다
brew                                                        양조하다
broad                                                       넓은
carve                                                       조각하다
cape                                                        망토
cater                                                       음식을 공급하다
cathedral                                                   대성당
cease                                                       중단시키다
chip                                                        이가빠진흔적/부스러기
choir                                                       성가대
classify                                                    분류[구분]하다
clause                                                      (문장)절/(서류)조항
commerce                                                    상업
compulsory                                                  강제적인
conceal                                                     감추다
