coordinate                                                  편성하다
deficit                                                     적자
conform                                                     순응하다
convict                                                     유죄를 선고하다
cope                                                        대처하다

contend                                                     주장하다 
contract                                                    계약/수축하다
consensus                                                   의견일치
contact tracing                                             접촉자 추적조사
upheaval                                                    대변동/격변
dispread                                                    확대되다/펼쳐지다
spread                                                      펼치다/확산
convention                                                  관습
coming out of                                               ~을 벗어나다
fumigate                                                    훈증 소독하다

workforce                                                   노동자[직원] 
aggression                                                  공격
constitute                                                  ~을 구성하다
creep                                                       살살기다
constrain                                                   강요하다/제한하다
contain                                                     억제하다  
contrary                                                    반대되는
corridor                                                    복도
cricket                                                     귀뚜라미
criteria                                                    기준
cultivate                                                   경작하다
cupboard                                                    벽장
damp                                                        축축한
deficiency                                                  결핍
delegate                                                    위임하다
