ingenious                                                   기발한
ingenuous                                                   순진한
genuine                                                     진실한
fraction                                                    일부/분수
flourish                                                    번창하다 
facilitate                                                  용이하게 하다
finite                                                      한정된

haunt                                               (생각이)뇌리에서 떠나지 않다
hunt                                                        사냥하다
urge                                                        강력히 권고하다/충동
urge                                                        선동하다
fright                                                      섬뜩한[무서운] 일

ferment                                                     발효되다
paternity                                                   아버지임
parternity leave                                            육아휴직
contraband                                                  밀수품
wanderlust                                                  방랑벽
cabinet                                                     (정부의)내각
possessions                                                 소지품
possess                                                     소유하다/사로잡다
run from A to B                                             A에서B로 이어진다
underground(부사)                                           비밀리에
fascinate                                                   매혹하다
federal                                                     연방정부의
fertile                                                     비옥한
fierce                                                      사나운
fond                                                        잘하는/좋아하는
forehead                                                    이마
frown                                                       얼굴을 찌푸리다
petrol                                                      휘발유/순찰을 돌다
gaze                                                        응시하다
grant                                                       승인하다/보조금
household                                                   가정
hypothesis                                                  가설
