fugitive                                                    도망자
obsess                                                      ~에 강박감을 갖다
neglect                                                     방치하다
negligent                                                   부주의한/태만한
poaching                                                    밀렵/침입/침해
poaching                                                    (요리기법)졸이다

notion                                                      개념/관념
persecution                                                 종교적 박해의 피해자들
ivory                                                       상아
inhale                                                      (기체)들이마시다
they have joined forces(관용)                               그들은 힘을 합쳤다
vapour                                                      수증기/증기
he fled A for B                                          A에서 B로 도망쳤다      
lump                                                        덩어리
manifest                                                    드러내 보이다
mate                                                        짝짓기를 하다

acetate                                                     아세테이트
fluid                                                       유체
load                                                        적재하다/짐
marvel                                                      경탄하다
lone                                                        단독의 
mock                                                        조롱하다
mount                                                       올라타다
nanny                                                       유모
narrate                                                     이야기를 하다
norm                                                        표준/기준
oblige                                                의무적으로 …하게 하다
occupation                                                  직업
occupy                                                      점령하다
offend                                                      기분 상하게 하다
ought(조동사)                                      must와 비슷하나 부드러운 뉘앙스
overlap                                                     공통부분/겹치다
