tackle                                                      (해결을)시도하다
immerse                                                     몰두하게 만들다
differentiate                                               미분하다/차별화하다
depict                                                      묘사하다
round off                                                   ~을 마무리짓다
expand on                                                   자세히 설명하다
elaborate                                                   자세히 말하다
ensue                                                       (결과가)뒤따르다
emcompass                                                   포함하다
incarnation                                                 구현
goes on to 부정사                                    계속해서 to부정사 하다
synonymous                                                  아주 밀접한

caustics(그래픽스전문용어)                                   인과적효과
disbelief                                                   불신감 
versatility                                                 다재다능함
diffraction                                                 회절
undulations                                            기복/물결 모양의 움직임
tranquil                                                    고요한
viable                                                      실행 가능한

defect                                                      결함
extensively                                                 광범위하게
outline                                                     개요
trade-offs                                                  절충
absorbed                                                    ~에 몰두한
cheeky                                                      건방진
invasive                                                    급속히 퍼지는
authorization                                               허가[인가]     
preface                                                     서문
courtesy                                                    공손함/무료의
portray                                                     묘사하다
surreal                                                     비현실적인
robustly                                                    견고하게
