indigenous                                                  토종의
ignorance                                                   무식/무지
ignorant                                                    무지한
skeptical                                                   의심 많은
die-hard                                                    완고한/보수적인
divest                                                      ~을 처분하다
galvanize                                                   결집시키다

unruly                                                      다루기 힘든
revise                                                      변경하다/복습하다
ensue                                                       (결과가)뒤따르다
emcompass                                                   포함하다
petrified                                                   극도로 무서워하는
impediment                                                  장애(물)
inflammatory                                                선동적인
parochial                                                   교구의/지역주의의
appraise                                                    살피다
appear before                                               …앞에 출두하다

beneficiary                                                 수혜자
near(V)                                                     접근하다
merely                                                      단지
fulfil                                                      실현하다/이행하다
bleary                                                      흐릿한
triumphant                                                  크게 성공한
fortify                                                     요새화하다
skim                                                        걷어내다
gunman                                                      무장 강도
garment                                                     의복
wood cutters                                                나무꾼들
lumpy                                                       혹투성이의
touchstone                                                  시금석
