deputize                                                    대행하다
gains                                                       이익/진전
gains were made                                             진전이 있었다
negligible                                                  무시해도 될 정도의
In practice,                                                실제로,
hit                                                         부담/성능저하
dimension                                                  *크기*/규모/차원
exposition                                                  설명/전시회
degrade                                            (품질저하)변형되다
consistent                                                  일관된
constituent                                                 ~구성하는/구성성분

cousins(virsion)                                            비슷한형태
Quantities(parameter)                                       측정할수있는 값
derivative                                                  미분
derivations                                                 유도과정(수학)
prone                                                       ~하기쉬운

retreat                                                     후퇴하다
rehabilitate                                                재활/갱생 치료를 하다
sanctuary                                                   보호구역
blackmail                                                   갈취하다
extort                                                      갈취하다
diminutive                                                  아주 작은
opinion                                                     견해
flown(fly과거분서)                                           
gulf                                                        만(해안지형)
engulf                                                      완전히 에워싸다
they served time                                            그들은 복역했다
median                                                      중간
precision                                                   정밀성
comparison                                                  비교
vogue                                                       유행
farcical                                                    웃음거리가 된
agreeable                                                   기분 좋은
