appoint                                                     임명하다
afflict                                                     괴롭히다
amenable                                                    순응하는
distraught                                                  비통한

debilitate                                                  약화시키다
dormant                                                     휴면상태의
arduous                                                     힘든
censure                                                     질책하다
cordial                                                     정중한
embellish                                                   꾸미다
coax                                                        설득하다

anecdote                                                    일화
clamor                                                      소란
daunting                                                    위압적인
attain                                                      도달하다
misogyny                                                    여성혐오
radiant                                                     빛나는
gentrify외래어 그대로씀                       빈곤지역을 부자들이 사 임대료 올려 생기는 문제
anoint                                                      기름을 바르다
comply                                                      준수하다
conspicuous                                                 눈에 띄는
cohesive                                                    응집력 있는
ample                                                       충분한
cleanse                                                     세척하다
cunning                                                     교활한
divert                                                      전환하다
eminent                                                     저명한
feeble                                                      연약한
foreboding                                                  불길한 예감
frantic                                                     미친듯한





                                                
