bane                                                        골칫거리
accession                                                   취임/가입

espouse                                                     옹호하다
excruciating                                                몹시 고통스러운
probity                                                     정직성

Instructional                                               교육용의
delve                                                       (무엇을 찾으려고)뒤지다
drubbing                                                    쉽게 이김
clump                                                       무리(군)
watershed                                                   분수령
solidarity                                                  결속
cause                                                       대의/유발하다(~하게만들다)
condemn                                                     비난하다
non-monetary                                                비금전적인
hard-nosed                                                  냉철한
lift a ban                                                  금지를 해제하다
Literacy                                                    문해력
deficient                                                   부족한
naughty                                                     버릇없는
haughty                                                     오만한 
clinical                                                    임상의
psyche                                                      심령
long-standing                                               오래된
entity                                                      독립체
predisposition                                              성향
desperation                                                 자포자기
ethereal                                                    천상의
bushy                                                       숱이 많은
reconsider                                                  재고하다
hearsay                                                     전해 들은 말



                                                
