frolic                                                  즐겁게 뛰놀다
foray                                                   시도
flurry                                                  소동/부산
indelible                                               잊을수없는
disclosure                                              폭로
  
remorse                                                 회한
convulsive                                              발작적인
fluke                                                   요행
fallow                                                  놀리는 (운영을 안하는)
niche                                                   편한자리/(시장의)틈새
morose                                                  시무룩한
correlate                                               연관성있다
curt                                                    퉁명스러운
denominate                                              명명하다/액수를 매기다 
altitude                                                (해발)고도 
concourse                                               중앙 홀
discordant                                              불협화음의
aggravate                                               악화시키다
frock                                                   드레스
muster                                                  소집하다/(지지를)모으다
tiresome                                                짜증스러운
bedlam                                                  난리/법석
deflect                                                 방향을 바꾸다
abide                                                   참다 / 견디다

idiosyncrasy                                            별난점
fastidious                                              까다로운
gnaw                                                    갉아먹다
fret                                                    조바심치다
crest                                                   산마루
barter                                                  물물교환하다
docile                                                  유순한

splash                                                  철벅 떨어지다 
hoist                                                   들어올리다
dismantle                                               해체하다
infest                                                  (들쥐가)들끓다
lateral                                                 옆의 
bruise                                                  멍
murky                                                   어두컴컴한
plod                                                    터벅터벅 걷다
fitful                                                  잠깐씩 하다마는
daft                                                    어리석은
