buoyant                                                     활기찬
camaraderie                                                 동료애
clandestine                                                 몰래하는
clemency                                                    관대함
cognizant                                                   인식하는
collateral                                                  부수적인

commensurate                                                상응하는
commiserate                                                 동정하다
confine                                                     제한하다
congenial                                                   상성이 맞는
consecrate                                                  봉헌하다
contaminate                                                 오염시키다
contentious                                                 논쟁을 일으키는
contiguous                                                  인접한
consent                                                     동의하다

conscientious                                               양심적인
conducive                                                   도움이 되는
complacent                                                  자기만족적인
complement                                                  보완하다
caustic                                                     부식성의
governing body                                              정부 기관
condone                                                     용서하다/용납하다
i was in your shoes                                         나도 당신과 같은 상황이었다
empathy                                                     공감
toxic                                                       유독성의
chagrin                                                     원통함
cerebral                                                    지적인
chide                                                       꾸짖다
circumvent                                                  우회하다
chronological                                               연대순의




                                                
