surreals                                                    비현실적인
nominee                                                     후보
representation                                              묘사/표현
oppose                                                      반대하다 
confront                                                    맞서다/직면하다
devout                                                      독실한

detest                                                      혐오하다
disdain                                                     경멸하다
disparage                                                   비하하다
dilute                                                      희석하다
disgruntled                                                 불만을품은
disheveled                                                  단정치않은

in favor of                                                 ~유리하게/~위하여
dismantle                                                   해체하다
devoid                                                      ~이 없는
deter                                                       단념시키다
detrimental                                                 해로운
deviate                                                     벗어나다
dexterous                                                   능숙한
dialect                                                     방언
diligent                                                    부지런한
discord                                                     불화
discrepancy                                                 불일치
discrete                                                    별개의
discriminate                                                구별하다
dispel                                                      없애다
disposition                                                 성향
disrupt                                                     방해하다
diminish                                                    감소시키다
disseminate                                                 전파하다/퍼뜨리다


                                                
