reinstate*                                                  복귀시키다
reconnaissance                                              정찰
pose threat                                                 (위협을)주다
fight it out                                                끝까지 싸우다
step up                                                     강화하다
brink                                                       직전
grant                                                       보조금/승인하다
subsidy                                                     보조금
jurisdiction                                                관할권

fiscal                                                      재정의
depreciation                                                가치하락
devaluation                                                 평가절하
austerity                                                   긴축정책

insurgent                                                   반란군
tariff                                                      관세
stimulus                                                    경기부양책
liquidity                                                   유동성
monetary                                                    통화의
volatility                                                  변동성
commodity                                                   상품
undocumented workers                                        미등록외국인근로자
confine                                                     제한하다
defiant                                                     반항하는
assess                                                      가늠하다
deficit                                                     적자
recession                                                   경기침체
intervention                                                개입
governance                                                  통치
vow                                                         맹세하다
civil war                                                   내전
