spatiotemporally                                            시공간적으로 
inconsistent                                                일관적이지 않은
observations                                                관측
overlook                                                    간과하다
lookout                                                     감시자
convoy                                                      호송[수송]대
ardent                                                      열정적인 

surface                                                     공개하다
clank                                                       철커덕하는 소리를 내다 
in a bid                                                    노력의 일환으로
lending body                                                대출 기관
aptitude                                                    적성

stabilize                                                   안정시키다 
revision                                                    개정/수정
landfill                                                    쓰레기 매립지
conversion                                                  전환
rebel-controlled                                            반군이 통제하는
deterrence                                                  억제력
occupation                                                  점령
peacekeeping                                                평화유지
disarmament                                                 군비축소
armament                                                    무장
retaliation                                                 보복
intelligence                                                정보기관
espionage                                                   간첩행위
counterterrorism                                            대테러
nuclear proliferation                                       핵확산
ethnic cleansing                                            인종청소
maritime                                                    해양의
