defiant                                                     도전적인
defray                                                      비용을 부담하다
delinquent                                                  체납의
imminent                                                    임박한

demeanor                                                    태도
delude                                                      속이다
defy                                                        거역하다

delicate                                                    섬세한
deluge                                                      홍수
deft                                                        능숙한
deflect                                                     편향시키다
deject                                                      낙담시키다
mindfulness                                                 마음 챙김
catastrophic                                                처참한
satire                                                      풍자
a third of                                                  3분의 1
the third of                                                ~의 세번째
malnourished                                                영양실조의
get along                                                   (사람들과)어울리다
brings to light 대상                                        (대상을)드러낸다


                                                
