burgeoning                                                  급증하는 
renovate                                                    보수하다
euphoria                                                    극도의행복감
plantation                                                  (대규모)농장
go ahead                                                    진행되다
In stages                                                   단계적으로
intense                                                     강렬한
bidder                                                      가격 제시자
bureau                                                      사무실

demise                                                      사망
deride                                                      비웃다
demolish                                                    철거하다
despondent                                                  낙담한
destitute                                                   빈곤한

desecrate                                                   모독하다
deplete                                                     고갈시키다
demur                                                       반대하다
denote                                                      의미하다
denounce                                                    비난하다
derive                                                      유래하다
desolate                                                    황량한
deploy                                                      배치하다
detached                                                    분리된







                                                
