speculation                                                 추측  
persecuted                                                  박해받는
surface-to-air                                              지대공의
up until now                                                지금까지
rebels                                                      반군
Moscow-backed                                               모스크바가 지원하는
goes away                                                   사라지다
statistics                                                  통계 자료

dissident                                                   반체제적인
douse                                                       (불,전등을)끄다/적시다
ebb                                                         쇠퇴하다
dreary                                                      우울한
dwindle                                                     줄어들다
earnest                                                     진지한
distinctive                                                 독특한

ecstatic                                                    황홀한
tenet                                                       교리
shipping port                                               해운항
executive                                                   행정[집행]의
pull A out of B                                         A를 B에서 철수시키다
dissolve                                                    용해하다
