embolden                                                    담력을 주다
elated                                                      의기양양한
efface                                                      지우다
egregious                                                   지독한

efficacious                                                 효과적인
facade                                                      외관
edify                                                       계몽하다
effigy                                                      모형

effervescent                                                거품이나는
emblematic                                                  상징적인
elicit                                                      끌어내다
elude                                                       피하다
effortless                                                  수월한
elusive                                                     잡기 어려운
embark                                                      승선하다
facile                                                      손쉬운
xenophobia                                                  외국인 혐오
automate                                                    자동화하다
literature                                                  문학
intense                                                     극심한
dismiss                                                     묵살하다
deny                                                        부정하다
bruising                                                    힘든
seek                                                        ~하려고 노력하다
following(분사)명사/절                                       ~이후에       
repetitive                                                  반복적인 
