obliterated                                                 압도적으로 이겼다
disenchanted                                                환상이 깨진 
sacred                                                      성스러운
deliberately                                                의도적으로
collectives                                                 조합(공동체)
bargaining                                                  협상
stalling                                                    정체(멈춰있다)
observe                                                     축하[기념]하다
orphanage                                                   고아원
civil society organizaions                                  시민사회단체
joint                                                       공동의
inflict                                                     (고통을)가하다

embroil                                                     말려들게 하다
endear                                                      사랑받게 하다
emerge                                                      출현하다
enlighten                                                   계몽하다
enliven                                                     활기를 불어넣다
entreat                                                     간청하다

endeavor                                                    노력하다
endorse                                                     지지하다
enfold                                                      감싸다
engross                                                     몰두하게 하다
enlist                                                      입대하다
enrage                                                      화나게 하다
enchant                                                     매혹하다
enthrall                                                    매혹하다
entice                                                      유혹하다
entitle                                                     자격을 주다
enumerate                                                   열거하다
