precipitate                                                 촉발시키다
undue                                                       과도한 
yearn                                                       동경하다
accredited                                                  승인받은

take out(colocation)loan/insuarance/subscription            밖으로 꺼내다
taboo                                                       금기(사항), 터부
intercept                                                   요격하다
strait                                                      해협
veto                                                        거부권
bar                                                         금지하다
grim                                                        엄숙한/음침한
place                                                       설치[배치]하다
read                                                        적혀있다

apathetic                                                   무관심한
propaganda                                                  선전
heroic                                                      영웅적인
epidemic                                                    유행/유행병
corrode                                                     부식시키다
abstention                                                  기권
rejoicing                                                   크게 기뻐함
notably                                                     특히
conservative                                                보수적인
dismissive                                                  무시하는
eligible                                                    ~을 가질 수 있는
abide                                                       참다/견디다  
indelible                                                   잊을수없는
lateral                                                     옆의/측면
attainment                                                  성과
charm                                                       매력
basis                                                       근거/이유
gorge                                                       협곡
abort                                                       유산[낙태]시키다
absurd                                                      부조리
behalf                                                      이익
affiliate                                                   제휴하다
adverse                                                     부정적인

sustainable                                                 지속 가능한
sterilize                                                   살균[소독]하다
strike/struck/stricken                                      부딪히다
acquisition                                                 습득
reef                                                        암초
prominent                                                   중요한
assess                                                      평가[사정]하다

imbalance                                                   불균형
correct                                                     바로잡다
pro-democracy                                               친민주주의
activist                                                    운동가
register                                                    기록하다
eggplant                                                    가지(채소)
adequate                                                    충분한
abundant                                                    풍부한
accommodate                                                 공간을 제공하다
account                                                     간주하다
attribute                                                   ~라고 보다/속성
appeal                                                      항소[상고]하다
aspire                                                      열망[염원]하다
aisle                                                       통로 
amplify                                                     증폭시키다
assign                                                      맡기다
beard                                                       (턱)수염
cloth                                                       천
adolescent                                                  청소년
condemn                                                     판결을 내리다/선고하다
convict                                                     판결을 내리다/선고하다
conceive                                                    상상하다
devastated                                                  엄청난 충격을 받은
authoritarian                                               권위주의적인

confederacy                                                 연맹/연합
rebel                                                       저항하다
he exercises power(colocation)                              권력을 행사하다
extend                                                      연장하다/제공하다
cape                                                        망토

warned of                                                   ~에 대해 경고했다
domestic                                                    가정적인/국내의
nitrate                                                     질산염
dictator                                                    독재자
bend                                                        굽히다/숙이다
break                                                       부서지다/휴식
brake                                                       브레이크
breed                                                       새끼를 낳다/사육하다
brew                                                        양조하다
broad                                                       넓은
carve                                                       조각하다
cater                                                       음식을 공급하다
cathedral                                                   대성당
cease                                                       중단시키다
chip                                                        이가빠진흔적/부스러기
choir                                                       성가대
classify                                                    분류[구분]하다
clause                                                      (문장)절/(서류)조항
commerce                                                    상업
compulsory                                                  강제적인
conceal                                                     감추다
convict                                                     유죄를 선고하다
contend                                                     주장하다 
conform                                                     순응하다
coordinate                                                  편성하다
deficit                                                     적자

cope                                                        대처하다
corridor                                                    복도
deficiency                                                  결핍
contract                                                    계약/수축하다
consensus                                                   의견일치
contact tracing                                             접촉자 추적조사
upheaval                                                    대변동/격변
dispread                                                    확대되다/펼쳐지다
spread                                                      펼치다/확산
convention                                                  관습
coming out of                                               ~을 벗어나다
fumigate                                                    훈증 소독하다

