encryption                                                  암호화
restoration                                                 복원
momentous                                                   중대한 resilient                                                   회복력 있는
genocide                                                    집단학살
loot                                                        약탈하다
plunder                                                     약탈하다
antiquities                                                 유물
shrine                                                      성지
embargo                                                     금수조치
wartime                                                     전시
ups and downs(명사)                                         기복

bequest                                                     유산(재산)
banal                                                       진부한
competent                                                   유능한
agitate                                                     동요시키다
conceive                                                    생각해내다
allude                                                      암시하다

compassion                                                  연민
appall                                                      질리게 하다
apparatus                                                   장치
articulate                                                  명확하게 표현하다
assert                                                      주장하다
balmy                                                       향기로운
barren                                                      불모의
blunder                                                     실수
capacious                                                   넓은
cardinal                                                    가장 중요한
cater                                                       요구에 응하다
covert                                                      비밀의
covet                                                       갈망하다
atrocities                                                  잔학한 행위
cronyism                                                    친족주의 
nepotism                                                    친족주의
radicals                                                    급진주의자
associate                                                   연관짓다

conserve                                                    보존하다
contend                                                     주장하다
entourage                                                   수행단

revolutionary                                               혁명적인
kickoff                                                     경기가 시작되다
stress                                                      강조하다
taint                                                       오점을 남기다
transplant                                                  이식하다 
rhetoric                                                    미사여구
contentious                                                 논쟁을 좋아하는
constrain                                                   제한하다
conform                                                     따르다
congruent                                                   일치하는
consequence                                                 결과
conspicuous                                                 눈에 띄는
contemplate                                                 깊이 생각하다
contempt                                                    경멸
contribute                                                  기여하다
cranky                                                      까다로운
contradict                                                  모순되다/반박하다
controversy                                                 논쟁
commitments                                                 책무
deprive                                                     박탈하다
exonerate                                                   무죄임을 밝혀 주다
convict                                                     유죄를 선고하다
verdict                                                     (배심원의)평결 
corroborate                                                 입증하다

amendment                                                   (법)개정
delusion                                                    망상
counteract                                                  대항하다
counterpart                                                 상대방
state-supported                                             국가지원
do away with                                                폐지하다

holy grail                                                  성배
behind bars                                                 감옥에서
on death row                                                사형수 수감동에서
he spent just shy of 시간                                   거의 ~에 가깝게 보냈다
cursory                                                     대충 훑어보는
curtail                                                     축소하다
degenerate                                                  타락하다
correlate                                                   연관시키다
culminate                                                   절정에 달하다
courteous                                                   공손한
daunting                                                    위압적인
deduct                                                      공제하다
delinquent                                                  의무를 게을리하는
depict                                                      묘사하다
designate                                                   지정하다discreet                                                    신중한
disparate                                                   이질적인
disparity                                                   불균형
disconcert                                                  당황케하다
devote                                                      바치다

crude                                                       원유/미가공의
shred                                                       자르다[찢다]
plunge                                                      급락하다 
surge                                                       급증하다
slowing economies                                           경기 침체
coverage                                                    보도[방송]
spark                                                       불러일으키다
contribute                                                  (…의)한 원인이 되다
devour                                                      걸신들린 듯 먹다
extraneous                                                  무관한

dexterity                                                   솜씨
desirable                                                   바람직한
desperate                                                   절망적인
dilemma                                                     곤경
disclose                                                    공개하다
discourse                                                   담론
disguise                                                    위장하다
dismay                                                      실망
exquisite                                                   정교한
extend                                                      확장하다
detect                                                      발견하다
breakdown                                                   실패[결렬/와해]
confideltial                                                비밀의
incarcerated                                                감금의
tear gas                                                    최루탄
break up                                                    해산시키다
break away                                                  분리되다
air strike                                                  공습
ensure                                                      보장하다
have to do with(관용)                                       ~와 관련있다
have nothing to do with                                     ~와 아무 관련이 없다
make up                                                     ~구성하다
viable                                                      생존 가능한
entrench                                                    확고히하다

distinctive                                                 독특한
eerie                                                       섬뜩한
embark                                                      착수하다
embellish                                                   장식하다/꾸미다
embody                                                      구현하다
encounter                                                   마주치다

fetus                                                       태아
wary                                                        경계하는
dissent                                                     반대
divert                                                      전환하다
divulge                                                     누설하다
dormant                                                     휴면 상태의
equitable                                                   공평한
equivalent                                                  동등한
eradicate                                                   근절하다
erratic                                                     변덕스러운
exaggerate                                                  과장하다
grim                                                        냉혹한
grudge                                                      원한
animosity                                                   반감

fortify                                                     강화하다
frantic                                                     미친듯한
frenzy                                                      광란
futile                                                      헛된
garner*                                                     모으다
glean                                                       수집하다
grave                                                       심각한/무덤
gregarious                                                  사교적인
glaring                                                     두드러진 

irreversible                                                되돌릴 수 없는 
formidable                                                  위압적인
frugal                                                      검소한
gaudy                                                       천박한
generic                                                     일반적인
genuine                                                     진짜의/진실한
homeland                                                    조국
glaucoma                                                    녹내장
infrastructure                                              사회 기반 시설
turmoil                                                     소란
gridlock                                                    정체[교착]상태
approval                                                    승인exhort                                                      권고하다
unleash                                                     촉발시키다
set off                                                     촉발시키다
crippling                                            제대로 기능을 못 하게 만들다
inclusive*                                                  포용적인
exempt                                                      면제된
proliferation                                               급증

responding to                                               ~에 대응하는것
annexation(발음)                                            합병
solemn                                                      엄숙한
collective                                                  공동의
ritual                                                      의례
poll                                                        여론 조사
exclaim                                                     외치다
exploit                                                     이용하다
expedite                                                    신속히 처리하다
facilitate                                                  촉진하다
extravagant                                                 사치스러운

finite                                                      유한한
expel                                                       추방하다
fallacy                                                     오류
fervent                                                     열렬한
fickle                                                      변덕스러운
flourish                                                    번창하다
ambassador                                                  대사
obligation                                                  의무

set off 촉발시키다
The incident set off a chain of protests across the country.
그 사건은 전국적인 연쇄 시위를 촉발시켰다.beleaguered                                                 사면초가에 몰린
unrest                                                      불안/불만
detention                                                   구금
break away                                                  분리되다
break up                                                    해산시키다
quell                                                       진압하다
bereave                                                     사별하다

sovereign                                                   군주/독립된
apprehend                                                   체포하다
referendum                                                  국민 투표
fib                                                         사소한거짓말
harbor                                                      숨기다
hamper                                                      방해하다
analgesic                                                   진통제 
admittance                                                  입장
mob                                                         군중
rite                                                        의식

alienate                                                    소원하게 만들다
hawkish                                                     강경파의
ringleader                                                  우두머리
reproach                                                    비난하다
habitual                                                    습관적인
sovereign nation                                            주권국가
parliament                                                  국회
