unanimous                                                   만장일치의
unilateral                                                  일방적인
rally                                                       대회/집회
disengagement                                               철수
likelihood                                                  가능성
downplay                                                    덜 중요하게 표현하다
exaggerate                                                  과장하다
exacerbate                                                  악화시키다
aggravate                                                   악화시키다
monastery                                                   수도원

immense                                                     어마어마한
inauguration                                                취임식
disruptor                                                   혼란시키는 사람
take effect                                                 시행되다
secretary                                                   장관
embers                                                      불씨
rustic                                                      시골의
coal                                                        석탄
backlash                                                    반발

implement                                                   시행하다
enforce                                                     집행하다
impose                                                      부과하다
enact                                                       제정하다
abrupt                                                      갑작스러운
consequential                                               중요한 결과를 지닌
aftermath                                                   여파
ramifications                                               파급효과
implications                                                영향
ratify                                                      비준하다
outcry                                                      항의
oversight                                                   감독unrest                                                      불안
unmet                                                       충족되지 않는
assignment                                                  업무배정
provocative                                                 도발적인 
goes on                                                     일어나다
down from 수량                                              ~에서 감소햇다
sit 거리 away                                             ~만큼 거리에 위치해 있다
give out                                                    배분하다/할당하다

consolidate                                                 통합하다
divisive                                                    분열을 초래하는
polarizing                                                  양극화시키는

geopolitical                                                지정학적인
adversary                                                   적대국
hegemony                                                    패권
superpower                                                  초강대국
neutral                                                     중립적인
incendiary                                                  선동적인
tension                                                     긴장
mediate                                                     중재하다
mitigate                                                    완화하다
bolster                                                     강화하다
undermine                                                   약화시키다
destabilize                                                 불안정하게 하다
outbreak                                                    발병
contagious                                                  전염성의
non-aligned                                                 비동맹의
now that i'm here                                           ~이니까(여기 와보니까)
raises                                                      급여인상
detective                                                   형사
city-state                                                  도시국가date back                                                 ~이래 계속 존재하고 있다
publication                                                 출판
perpetuate                                                  지속시키다
dissemination                                               보급
transmission                                                전파

strain                                                      균주
morbidity                                                   질병 걸린 비율
pathogen                                                    병원체
catalyst                                                    촉매
asymptomatic                                                무증상의
resurgence                                                  부활
impetus                                                     자극
vaccination                                                 예방접종

intensify                                                   심해지다/강화하다
revival                                                     부흥/부활
momentum                                                    추진력
breaking news                                               속보
media coverage                                              언론보도
mortality rate                                              사망률
immunization                                                면역
infectious                                                  감염성의
variant                                                     변이
mural                                                       벽화
overrule                                                    기각하다
unparalleled                                                비길 데 없는
treetop                                                     우듬지
bulletin                                                    공고prediction                                                  예측
hydraulic                                                   수압시스템의/수압의
grumpy                                                      성격이 나쁜
overcrowding                                                과잉수용
unmet                                                       충족되지 않는
come apart                                                  흩어지다

experiment                                                  실험하다
instruction                                                 설명/지시
aloof                                                       냉담한
recount                                                     재검표하다 
pest                                                        해충
fungal                                                      진균
spore                                                       포자
convention                                                  관습/조약
approve                                                     찬성하다/인가하다
extent                                                      크기/규모
from A through B                                            A부터 B까지
discrimination                                              차별
dismissal                                                   해고
restrictive                                                 제한하는
stab                                                        찌르다
incident                                                    사건
rate                                                        등급이 매겨지다
blunt                                                       노골적인
signify                                                     의미하다

close election                                              박빙의 선거
fruit fly                                                   초파리
next to last                                                끝에서 두번째
She is with ~                                               ~소속이다
funding shortages                                           재정부족bring down                                                  붕괴시키다
parrots                                                     앵무새
outage                                                      정전
induct                                                      가입시키다
remnant                                                     나머지
sedate                                                      진정제를 주다
attendant                                                   안내원
attendance                                                  참석자 수/출석
stuff                                                       쑤셔넣다/채워넣다
rich                                                        다채로운
theorems                                                  정리(증명된 명제나 법칙)
recurrence                                                  반복
gains                                                       증가

cuff                                                        압박대
readings                                                    측정/수치
share                                                       비율
hypertension                                                고혈압
polio                                                       소아마비
measles                                                     홍역
meningitis                                                  수막염
herd                                                        목축하다
livestock                                                   가축

work on                                                     노력하다
systolic(의학)                                              수축기
diastolic(의학)                                             확장기
yet(접속사)                                                 하지만(부정문)
yet(시간부사)                                               아직(부정문에서 사용)
life force                                                  생명력
on 교통수단                                                  대중교통/큰 교통수단
in 교통수단                                            개인 교통수단/작은 교통수단
asymptotic                                                  점근선의
asymptomatic                                                증상이 없는
computability                                               계산가능성
sequences                                                   수열
set                                                         집합
inherent                                                    내재하는
whereas                                                     반면에
scheme                                                      체계
acclimate                                                   (풍토에)익숙해지다
flabbergasted                                               크게 놀란
overcome                                                    극복하다/압도당하다

nonbinding                                            강제적이 아닌/구속력이 없는
greenhouse                                                  온실
force                                                       힘
revoke                                                      폐지하다
provoke                                                     유발하다
evoke                                                       불러일으키다
invoke                                              언급하다/적용하다/(신을)부르다
butchers                                                    정육업자
poultry                                                     가금류
increasingly                                                점점 더

transmit                                                    전염시키다/방송하다
follow                                                      따라가다
complete                                                    작성하다
foresight                                                   선견지명
algae                                                       조류(물속식물)
avian                                                       조류의
unusually                                                   대단히
civic                                                       시민의
closed down                                                 폐쇄하다
write for                                                   ~에 기고하다
state department                                            국무부
containment                                                 봉쇄
dominate                                                 가장 중요한 특징이 되다
carbohydrate                                                탄수화물
starch                                                      탄수화물/녹말
plywood                                                     합판
textile                                                     옷감
streak                                                      줄무늬를 넣다
heads                                                    대표하다/책임지다/이끌다
methodical                                                  체계적인
abdomen                                                     복부
saline                                                      식염수
intravenous                                                 정맥주사의
the thinking                                        현재의 접근법(이러한 사고방식)

upheaval                                                    격변
proxy                                                       대리인
engagement                                                  관여
ostensibly                                                  표면상으로는

appeasement                                                 유화정책
paramedics                                                  의료보조과학
avionics                                                    항공 전자 기기
receiver                                                    수신기
allege                                                      혐의를 [주장하다]
allegedly                                                   주장에 따르면
instability                                                 불안정
digitalization                                              디지털화
automation                                                  자동화
privacy                                                     개인정보
reportedly                                                  보도에 따르면
presumably                                                  아마도
resume                                                      재개하다
sphere of influence                                         영향권
devastate                                             (엄청난)충격을 주다
lethal                                                      치명적인
seclusion                                                   은둔/격리
makeup                                                      (사물의)구조
educated guess                                           경험에서 우러난 추측   
seagull                                                     갈매기
oil rig                                                     석유 굴착 장치
offshore                                                    바다위의
hideouts                                                    은거지
defect                                                      망명하다/변절하다
somehow                                                     어쨋든
dispatch                                                    파견하다/보내다
obedient                                                    순종하는
ploy                                                        계책
interrogate                                                 심문하다
desert                                                      탈주하다
intruder                                                    침입자
sick bay                                                    의무실
unmanned                                                무인의/승무원이 타지 않은

go down                                                     기록하다
go off                                                      폭발하다
go back on                                                  (약속을)어기다
go up against                                              ~와 맞서다
go after                                                   ~를 추적하다
go through                                                  경험하다/검토하다
go ahead                                                    진행되다
go by                                                       지나가다
go by                                                       ~라는 이름으로 불리다

reach out                                                  ~와 접촉하려고 하다 
reach out to                                             연락하다/도움을 요청하다
Not when 절                                                ~할 때는 예외다
word came in that 절                                       ~소식이 들려왓다
be done with someone                                       ~와 끝을 보다

What's [something] for?                                    [s.t]은 왜 그래?
territorial waters                                          영해
decoy                                                       미끼
flatline                                                    심장이 정지하다
left behind                                                 버려두다
put out (fires)                                             불을 끄다/진압하다
take care of (personally)                                   직접처리하다
give a crap (about something)                               신경 쓰다
word                                                        소식
came in                                                     들어왓다
crap                                                        헛소리passersby                                                   통행인
discourage                                                  좌절시키다
inclusion*                                                  포함/포용
dependable                                                  믿을수잇는
over (the law)                                     갈등/논쟁원인 나타낼 때 자주씀
disinfect                                                   소독하다
fad                                                         유행
measured                                                    신중한
prop                                                        버팀목
haunting                                                    잊을 수 없는
hinder                                                      방해하다
beset                                                       괴롭히다
crackdown                                                   탄압
prowl                                                       서성거리다
allowance                                                   용돈
concern                                                     고려
forestall                                                   미연에 방지하다
break down                                        분해하다/고장나다/(감정)무너지다

bring up                                                    언급하다/기르다
bring on                                                    (나쁜결과)초래하다
bring about                                             (변화 만들어내다)초래하다
bring together                                              모으다
bring down                                                  붕괴시키다
bring in                                                    끌어들이다
bring s.t to light                                          (대상을)밝혀내다
bring back                                                  돌려주다/다시 가져오다

take out                                                    제거하다
take back                                                   회수하다/취소하다
take up                                                     다루다/논의하다
take something up                                           ~을 시작하다
take after                                                  닮다
take off                                                 (비행기)이륙하다/(옷)벗다
take over                                                   인수하다/책임지다

do over                                                     다시하다
do away with                                                폐지하다
having to do with                                           ~와 관련된

put off*                                                    미루다
put on                                                      (옷)입다/(라이트)켜다
put upon                                                    도입하다(impose)
put away                                                    제자리에 두다
put out (fires)                                             불을 끄다/진압하다
put up with                                              참다 견디다(부정적인 것)
put forward                                                 제시하다

work through*                                               극복하다
work up                                                     (용기 등을)키우다
work around                                                 우회하다
work on                                                ~에 대해 작업하다/노력하다
work out                                                    운동하다/해결되다

encounter                                                   우연히 만나다
run into                                                    우연히 만나다
bump into                                                   우연히 만나다
come across                                                 우연히 만나다

grow by                                                     ~만큼 커지다/성장하다
carry on                                                    계속하다
pick up                                                     배우다
catch on                                                    알아채다
cut off                                                     차단하다
look up                                                     찾아보다/존경하다
pass away                                                   죽다(완곡 표현)
set up                                                      설치하다/계획하다
turn up                                                     나타나다/(소리)높이다
fall apart                                            부서지다/(관계)무너지다
give in                                                     굴복하다
keep up (with)                                              따라가다
come up with                                            (아이디어)생각해 내다trouble                                                     수고스러운 일
favor                                                       신세
bale                                                        더미/뭉치
straw                                                       짚
weed                                                        잡초
seedling                                                    묘목
cervical                                                    자궁경부의
cervix                                                      자궁경관
die of 원인                                                ~로 죽다
at-risk                                                  위험한 환경에 있는
lift                                                        증가시키다
maize                                                       옥수수
payments                                                    지급금
hefty                                                       많은/두둑한
undergo                                                     겪다
lead                                                        단서
whereabouts                                                 행방
busted                                                      체포되다
up-front                                                    선불로
follow up on                                               ~를 추적조사하다

call on                                                     촉구하다
call for                                                    요구하다
call off                                                    취소하다
call back                                                   다시 전화하다

overcome                                                    극복하다/압도당하다
dupe                                                        속이다
falsify                                                     조작하다
obsessed                                                    집착하는
prominence                                                  명성
