encryption                                                  암호화
restoration                                                 복원
momentous                                                   중대한 resilient                                                   회복력 있는
genocide                                                    집단학살
loot                                                        약탈하다
plunder                                                     약탈하다
antiquities                                                 유물
shrine                                                      성지
embargo                                                     금수조치
wartime                                                     전시
ups and downs(명사)                                         기복

bequest                                                     유산(재산)
banal                                                       진부한
competent                                                   유능한
agitate                                                     동요시키다
conceive                                                    생각해내다
allude                                                      암시하다

compassion                                                  연민
appall                                                      질리게 하다
apparatus                                                   장치
articulate                                                  명확하게 표현하다
assert                                                      주장하다
balmy                                                       향기로운
barren                                                      불모의
blunder                                                     실수
capacious                                                   넓은
cardinal                                                    가장 중요한
cater                                                       요구에 응하다
disinfect                                                   소독하다
fad                                                         유행
measured                                                    신중한
prop                                                        버팀목
haunting                                                    잊을 수 없는
hinder                                                      방해하다
beset                                                       괴롭히다
crackdown                                                   탄압
prowl                                                       서성거리다
forestall                                                   미연에 방지하다

outright                                                    명백한
dogged                                                      끈덕진
barefaced                                                   뻔뻔한
bail                                                        보석(금)
formidable                                                  가공할
investigation                                               수사     

commiseration                                               위로
bung                                                        (툭)던지다
criticism                                                   비판
brood                                                       (화나는일을)되씹다
choosy                                                      까다로운
fled                                                        flee과거형
flew                                                        fly과거형
concern                                                     고려
concerning                                                  ~에 관한
swamp                                                       늪/(일이)쇄도하다
wetland                                                     습지
bring in                                                    끌어들이다
year-round                                                  연중(1년내내)
abuse                                                       학대
charge                                                      혐의
institute                                                   협회/도입하다
suspected                                                   의심되는 
hasten                                                      서둘러하다
bureaucratic                                                관료주의적인   
lodge                                                       오두막
coincidental                                                우연의
administration                                              (행정)관리     
blemish                                                     (피부의)티/흠
crate                                                       상자
revelry                                             흥청망청놀기
astute                                              영악한
bewildering                                         갈피를 못잡게 하는
drive                                               (변화를)만들다
splurge                                             돈을 물쓰듯 쓰다
put away                                            제자리에 두다


mow                                                 (잔디를)깍다
intrusive                                           거슬리는
drivel                                              쓸데없는짓
contingent                                          대표단/조건부의
gamut                                               전체
leach                                               침출되다
impersonate                                         흉내내다
alteration                                          개조
aboriginal                                          원주민의
place                                               (순위를)차지하다
lavish                                              호화로운/아낌없이주다
godsend                                             뜻밖의 선물
archetype                                           전형
etch                                                아로새기다

avert                                               방지하다
daunt                                               기죽게하다
fractious                                           짜증잘내는
dissent                                             반대
leisurely                                           여유로운
harass                                              괴롭히다
impromptu                                           즉흥적으로
mainstay                                            중심/대들보
hind                                                (동물의)뒤의
beckon                                              손짓하다
arid                                                무미건조한
assemblage                                          집합

conjure                                             마술을하다
glue                                                접착제
cuisine                                             요리법/요리
bail                                                보석/보석금
surplus                                             흑자
occupational                                        직업의
harbour                                             항구
beam                                                빛줄기
bystander                                           구경꾼
affiliation                                         소속
departed                                            세상을 떠난circumvent                                          (법을)피하다
duly                                                절차에따라
inkling                                             눈치챔
heady                                               자극적인
debar                                               금지하다
incontestable                                       반박의 여지가 없는
denote                                              조짐을 보이다
convalescent                                        요양중인
penal                                               형사상의
heart-rending                                       가슴이 미어지는
hard-wearing                                        오래가는
lamentable                                          한탄스러운
premise                                             전제
gentility                                           고상함

acute                                               격심한
dawdle                                              꾸물거리다
delirious                                           의식이 혼미한
hold                                                (잠재력을)가지고있다
commodity                                           상품/원자재
dissent                                             반대

jut                                                 튀어나오다
municipal                                           지방자치제의
mouldy                                              곰팡이가 핀
frowsty                                             퀴퀴한
mound                                               흙더미
elevation                                           높은 곳
destabilize                                         불안정하게 만들다
kudos                                               영광
forbid                                              금지하다
beak                                                새의 부리
torrential                                          억수로 퍼붓는
torrent                                             급류
current                                             해류
displace                                            쫒아내다
flooding                                            홍수
rain storms                                         폭우
seemingly                                           겉보기에는
seemingly                                           ~처럼 보이는
unending                                            끝나지않을것같은
stream                                              (기체/액체의)줄기
exploration                                         탐사
eruption                                            화산분출
archaeology                                         고고학자
hedge                                               울타리/대비책propitious                                                      유리한
dismal                                                          음울한
illegible                                                       읽기어려운
mitigate                                                        완화시키다
fervent                                                         열렬한
outgoing                                                        퇴임하는
forlorn                                                         황량한/쓸쓸한
inconsequential                                                 중요하지않은

commiserate                                                     위로하다
corny                                                           진부한
hard-wearing                                                    오래가는
crux                                                            곤란한부분
ilk                                                             종류
acquintance                                                     아는사람
glaring                                                         확연한/노려보는

ease                                                            (고통을)덜다
convalescent                                                    요양중인
drivel                                                          쓸데없는말
compliance                                                      준수/(명령에)따름
chuckle                                                         싱긋웃다

groundbreaking                                                  (건설현장)기공식\
ingenious                                                       기발한
municipal                                                       지방자치의
intake                                                          섭취
kidnapping                                                      납치
food poisoning                                                  식중독
year-long                                                       일년내내 계속되는
in need                                                         어려움에 처한
lessen                                                          줄이다
groundbreaking                                                  신기원을 이룬
former                                                          예전의/이전의
elixir                                                          영약
bead                                                            구슬
alibi                                                           알리바이
incarnation                                                     생애/화신
clash                                                           충돌
asunder                                                         산산이
cubbyhole                                                       작은방
diameter                                                        지름convene                                             소집하다
striking back                                       반격하다
retaliate                                           보복하다
settle                                              해결하다
rotund                                              퉁퉁한
innocuous                                           악의없는
insouciance                                         태평함
insincere                                           진실되지못한

contain                                             억누르다
letigation                                          법적절차
letigate                                            소송하다
belligerent                                         적대적인
factor                                              요인
frond                                               (길다란)잎
palm                                                야자수
rescue effort                                       구조활동
crucial                                             결정적인
spot                                                (갑자기)발견하다
file                                                제출하다/제기하다
seek to                                             ~하려고하다
pointing to                                         ~근거로 들며
dispute                                             분쟁
bodily waste                                        신체 폐기물

effectual                                           효과적인
inaudible                                           들리지않는
lustrous                                            윤기가흐르는
chute                                               활송장치
